id,class,count,%,timePoint,year
-1,None,,,T0,Y1
,Review,1,0.040016006,T0,Y1
1,Unknown,,,T0,Y1
2,Acropora spp.,,,T0,Y1
3,Acropora cervicornis,,,T0,Y1
4,Acropora palmata,,,T0,Y1
5,Porites spp.,,,T0,Y1
6,Porites porites,,,T0,Y1
7,Porites furcata,,,T0,Y1
8,Porites divaricata,,,T0,Y1
9,Porites astreoides,3,0.120048019,T0,Y1
10,Oculina spp.,,,T0,Y1
11,Oculina robusta,,,T0,Y1
12,Oculina varicosa,,,T0,Y1
13,Oculina diffusa,,,T0,Y1
14,Madracis spp.,,,T0,Y1
15,Madracis auretenra,,,T0,Y1
16,Madracis formosa,,,T0,Y1
17,Madracis decactis,,,T0,Y1
18,Dendrogyra cylindrus,,,T0,Y1
19,Siderastrea spp.,,,T0,Y1
20,Siderastrea siderea,21,0.840336134,T0,Y1
21,Siderastrea radians,,,T0,Y1
22,Stephanocoenia intersepta,7,0.280112045,T0,Y1
23,Montastraea cavernosa,,,T0,Y1
24,Orbicella spp.,,,T0,Y1
25,Orbicella annularis,,,T0,Y1
26,Orbicella faveolata,,,T0,Y1
27,Orbicella franksi,,,T0,Y1
28,Favia fragum,,,T0,Y1
29,Dichocoenia stokesii,,,T0,Y1
30,Solenastraea bournoni,,,T0,Y1
31,Solenastraea hyades,,,T0,Y1
32,Colpophyllia natans,1,0.040016006,T0,Y1
33,Pseudodiploria spp.,,,T0,Y1
34,Pseudodiploria strigosa,,,T0,Y1
35,Pseudodiploria clivosa,,,T0,Y1
36,Diploria labyrinthiformis,1,0.040016006,T0,Y1
37,Manicina areolata,,,T0,Y1
38,Meandrina spp.,,,T0,Y1
39,Meandrina meandrites,,,T0,Y1
40,Meandrina danae,,,T0,Y1
41,Meandrina jacksoni,,,T0,Y1
42,Helioseris cucullata,,,T0,Y1
43,Agaricia spp.,,,T0,Y1
44,Agaricia fragilis,,,T0,Y1
45,Agaricia lamarcki,,,T0,Y1
46, Agaricia agaricites,,,T0,Y1
47,Mycetophyllia spp.,,,T0,Y1
48,Mycetophyllia lamarckiana,,,T0,Y1
49,Mycetophyllia aliciae,,,T0,Y1
50,Mycetophyllia ferox,,,T0,Y1
51,Mycetophyllia reesi,,,T0,Y1
52,Isophyllia spp.,,,T0,Y1
53,Isophyllia sinuosa,,,T0,Y1
54,Isophyllia rigida,,,T0,Y1
55,Scolymia spp.,,,T0,Y1
56,Scolymia cubensis,,,T0,Y1
57,Scolymia wellsi,,,T0,Y1
58,Mussa angulosa,,,T0,Y1
59,Eusmilia fastigiata,,,T0,Y1
60,Octocorallia,80,3.201280512,T0,Y1
61,Gorgonia ventalina,,,T0,Y1
62,Xestospongia muta,,,T0,Y1
63,Thalassia testudinum,,,T0,Y1
64,Halimeda,,,T0,Y1
65,Dictyota spp.,,,T0,Y1
66,Crustose coralline algae natans,2,0.080032013,T0,Y1
67,Porifera,125,5.0020008,T0,Y1
68,Cnidaria,,,T0,Y1
69,Red algae,,,T0,Y1
70,Green algae,,,T0,Y1
71,Brown algae,,,T0,Y1
72,Palythoa,147,5.882352941,T0,Y1
73,Rubble,835,33.41336535,T0,Y1
74,Turf algae,1244,49.77991196,T0,Y1
75,Other,16,0.640256102,T0,Y1
76,Millepora spp.,16,0.640256102,T0,Y1
