TagLab Region id,TagLab Date,TagLab Class name,TagLab Genet id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note,timePoint
0,12/8/2021,Porites astreoides,0,3131.8,2140.1,14.64,0,15.3,,T12
1,12/8/2021,Siderastrea siderea,1,4866.3,2816.3,39.21,0,25.3,,T12
2,12/8/2021,Porites astreoides,2,5368.6,2837.8,91.07,0,36.4,,T12
3,12/8/2021,Siderastrea siderea,16,4210,3560.2,53.86,0,44.1,,T12
4,12/8/2021,Siderastrea siderea,3,7112.6,2962.3,6.95,0,10.6,,T12
5,12/8/2021,Stephanocoenia intersepta,166,7592.5,2308.5,5.73,0,9.9,,T12
6,12/8/2021,Siderastrea siderea,5,12232,3020.9,52.06,0,39.7,,T12
7,12/8/2021,Porites astreoides,6,14843.9,3042.6,27.07,0,21.2,,T12
8,12/8/2021,Porites astreoides,12,19213.4,2715.1,75.4,0,38.3,,T12
9,12/8/2021,Siderastrea siderea,170,20719.3,3238.5,1.78,0,5.4,,T12
10,12/8/2021,Porites astreoides,171,23651.1,2829.1,6.26,0,10.3,,T12
11,12/8/2021,Siderastrea siderea,13,27784.3,1993.3,19.75,0,21.2,,T12
12,12/8/2021,Porites astreoides,173,6809.3,3661.6,6.33,0,9.6,,T12
13,12/8/2021,Porites astreoides,174,3035.9,3438.2,7.58,0,11.1,,T12
14,12/8/2021,Siderastrea siderea,175,2953,3468.4,3.56,0,7.7,,T12
15,12/8/2021,Porites astreoides,176,8342.7,4002.9,5.6,0,9.1,,T12
16,12/8/2021,Porites astreoides,177,25821.5,3832.7,13.5,0,13.9,,T12
17,12/8/2021,Porites astreoides,178,19915.6,4638.5,29.59,0,23.8,,T12
18,12/8/2021,Siderastrea siderea,20,20528.6,5856.4,6.82,0,14.5,,T12
19,12/8/2021,Siderastrea siderea,21,17698.9,4674.7,12.12,0,14.8,,T12
20,12/8/2021,Siderastrea siderea,181,10646.9,3909,2.26,0,6.5,,T12
21,12/8/2021,Porites astreoides,182,8555.9,4245,3.55,0,9.1,,T12
22,12/8/2021,Porites astreoides,183,2695,5774,4.05,0,8.4,,T12
23,12/8/2021,Porites astreoides,184,3227.1,5497,5.31,0,8.9,,T12
24,12/8/2021,Porites astreoides,185,30195.5,7829.7,6.38,0,9.7,,T12
26,12/8/2021,Siderastrea siderea,187,24357.4,8246.2,11.72,0,17.4,,T12
27,12/8/2021,Porites astreoides,25,17253.9,6796.8,70.6,0,38.9,,T12
28,12/8/2021,Porites astreoides,24,13111.7,6325.2,103.11,0,40.7,,T12
29,12/8/2021,Porites astreoides,29,2981.6,7062.4,7.22,0,10.3,,T12
30,12/8/2021,Porites astreoides,191,2975.9,7168,5.49,0,9.9,,T12
31,12/8/2021,Porites astreoides,33,8822,8397,10.64,0,13.8,,T12
32,12/8/2021,Siderastrea siderea,34,11467.6,7618.7,368.42,0,129.3,,T12
33,12/8/2021,Siderastrea siderea,194,14400,7322.3,1.71,0,5.3,,T12
34,12/8/2021,Siderastrea siderea,37,27966.1,9454.3,7.6,0,10.9,,T12
35,12/8/2021,Porites astreoides,196,27601,9227.8,21.79,0,19.1,,T12
36,12/8/2021,Porites astreoides,35,23606.5,8378.7,22.37,0,19.3,,T12
37,12/8/2021,Porites astreoides,198,5359.2,8100.2,10.76,0,14.8,,T12
38,12/8/2021,Siderastrea siderea,199,5124.5,7980.4,9.7,0,16.6,,T12
39,12/8/2021,Porites astreoides,39,6014,9446.1,5.69,0,9.2,,T12
40,12/8/2021,Siderastrea siderea,51,6783.2,10588.7,7.36,0,16,,T12
41,12/8/2021,Porites astreoides,49,10527.3,11060.3,18.62,0,17.6,,T12
42,12/8/2021,Porites astreoides,43,14593.7,10699.7,38.21,0,26.3,,T12
43,12/8/2021,Porites astreoides,40,15523.5,9940.2,38.42,0,25.9,,T12
44,12/8/2021,Porites astreoides,44,17069.8,10719.4,24.32,0,21.4,,T12
45,12/8/2021,Siderastrea siderea,48,21136.3,10452.7,28.8,0,35.1,,T12
46,12/8/2021,Porites astreoides,207,21877.2,9803.4,16.58,0,15.6,,T12
47,12/8/2021,Porites astreoides,208,29533.5,9447.9,11.02,0,13.7,,T12
48,12/8/2021,Porites astreoides,209,29239.7,10307.2,9.42,0,12.6,,T12
49,12/8/2021,Porites astreoides,36,28278.9,10168,21.36,0,24.9,,T12
50,12/8/2021,Siderastrea siderea,55,6600.3,11502.5,45.85,0,51.4,,T12
51,12/8/2021,Porites astreoides,56,7188.9,12124,59,0,29.9,,T12
52,12/8/2021,Siderastrea siderea,54,2017,11338.4,20.91,0,18.8,,T12
53,12/8/2021,Siderastrea siderea,65,2489.3,13002.4,66.68,0,32,,T12
54,12/8/2021,Porites astreoides,63,7452.3,12857,34.64,0,25.3,,T12
55,12/8/2021,Porites astreoides,216,12115.9,12992,5.15,0,9.8,,T12
56,12/8/2021,Porites astreoides,217,12178.1,13083.6,2.66,0,6.4,,T12
57,12/8/2021,Siderastrea siderea,62,14746.3,13429.7,79.77,0,70.6,,T12
58,12/8/2021,Siderastrea siderea,61,16518.8,13351,40.64,0,27,,T12
59,12/8/2021,Porites astreoides,220,18589.1,13404.5,14.49,0,17.2,,T12
60,12/8/2021,Siderastrea siderea,60,18747.3,13792.5,59.87,0,45.3,,T12
61,12/8/2021,Porites astreoides,57,20492.2,12037,21.25,0,19.5,,T12
62,12/8/2021,Porites astreoides,58,24644.4,12234.6,77.32,0,34.1,,T12
63,12/8/2021,Porites astreoides,224,25524.2,11466.3,5.85,0,9.5,,T12
64,12/8/2021,Porites astreoides,59,24272.7,13760.7,46.37,0,29.3,,T12
65,12/8/2021,Porites astreoides,226,22748,13046.5,12.28,0,13.9,,T12
66,12/8/2021,Porites astreoides,227,22774.7,13147.1,6.01,0,9.5,,T12
67,12/8/2021,Stephanocoenia intersepta,228,1378.6,13821.4,28.82,0,30.1,,T12
68,12/8/2021,Siderastrea siderea,71,17455.3,14597.8,7.05,0,10.7,,T12
69,12/8/2021,Siderastrea siderea,81,23020.4,15807,40.56,0,41.7,,T12
70,12/8/2021,Porites astreoides,68,24016.3,15133,23.99,0,19.4,,T12
71,12/8/2021,Siderastrea siderea,82,29694.5,17116,48.55,0,28.3,,T12
72,12/8/2021,Siderastrea siderea,80,16167.3,16344.1,21.42,0,19.2,,T12
73,12/8/2021,Siderastrea siderea,78,12303.2,15878.9,30.28,0,28.7,,T12
74,12/8/2021,Porites astreoides,235,8775.5,14796,8.55,0,11.6,,T12
75,12/8/2021,Porites astreoides,76,3492.2,16481.5,64.81,0,32.8,,T12
76,12/8/2021,Porites astreoides,93,30319.6,18822.9,20.15,0,18.2,,T12
77,12/8/2021,Porites astreoides,94,30351.9,19158.9,14.14,0,15,,T12
78,12/8/2021,Porites astreoides,89,22059.3,18887.7,78.56,0,37,,T12
79,12/8/2021,Siderastrea siderea,109,19654.1,21068.7,60.98,0,39.6,,T12
80,12/8/2021,Siderastrea siderea,98,14804.6,19962.4,34.58,0,22.2,,T12
81,12/8/2021,Siderastrea siderea,88,15858.1,18604.2,10.62,0,16,,T12
82,12/8/2021,Siderastrea siderea,87,13367.8,18430.9,6.17,0,9.6,,T12
83,12/8/2021,Porites astreoides,244,11728.5,19670.9,35.51,0,28.6,,T12
84,12/8/2021,Siderastrea siderea,245,11426,18653.6,11.34,0,13.5,,T12
85,12/8/2021,Porites astreoides,246,7027.6,18340.4,36.16,0,25.7,,T12
86,12/8/2021,Siderastrea siderea,99,5433.1,19331.4,32.27,0,31.9,,T12
87,12/8/2021,Porites astreoides,100,5346.4,18936.8,34.72,0,27.9,,T12
88,12/8/2021,Porites astreoides,86,5230.9,18490.3,14.98,0,14.9,,T12
89,12/8/2021,Porites astreoides,85,4998.2,18451.6,22.43,0,18.2,,T12
90,12/8/2021,Agaricia agaricites,251,4043.3,20621.1,6.69,0,10.1,,T12
