Blob id	Class name	Centroid x	Centroid y	Coral area	Coral perimeter	Coral note
0.0	Porites astreoides	8636.4	23301.7	30.12	24.8	
1.0	Siderastrea spp.	11357.8	23026.7	9.21	11.7	
2.0	Porites astreoides	16877.2	23024.9	40.12	24.6	
3.0	Siderastrea spp.	16996.2	22969.3	15.28	18.2	
4.0	Siderastrea spp.	26901.0	21231.6	334.29	81.3	
5.0	Siderastrea spp.	24748.6	21448.4	38.38	28.4	
6.0	Siderastrea spp.	17262.0	21417.8	41.21	26.3	
7.0	Porites astreoides	12543.8	21370.6	14.98	15.4	
8.0	Siderastrea spp.	6386.2	21493.6	71.98	35.3	
9.0	Siderastrea spp.	26201.9	20140.9	248.36	101.5	
10.0	Agaricia agaricites	19225.0	20213.0	14.36	15.2	
11.0	Siderastrea spp.	17363.0	20030.2	44.94	27.3	
12.0	Siderastrea spp.	4670.8	19804.6	22.72	18.9	
13.0	Siderastrea spp.	7517.5	19081.7	74.78	60.5	
14.0	Siderastrea spp.	7717.1	18753.3	65.04	33.8	
15.0	Siderastrea spp.	8177.6	19037.1	28.48	22.5	
16.0	Siderastrea spp.	12965.0	18838.4	73.56	36.0	
17.0	Siderastrea spp.	13592.4	19007.7	13.62	17.8	
18.0	Siderastrea spp.	18962.0	19133.7	159.06	49.0	
19.0	Orbicella faveolata	25888.1	19498.4	100.82	50.2	
20.0	Empty	15614.3	17925.7	0.01	0.3	
21.0	Orbicella faveolata	15949.3	17999.2	1209.78	190.0	
22.0	Porites astreoides	6000.4	18352.0	93.05	39.3	
23.0	Stephannocoenia intersepta	6301.2	18272.2	22.13	22.5	
24.0	Siderastrea spp.	6260.7	18034.3	155.96	49.9	
25.0	Pseudodiploria strigosa	5167.2	18628.3	301.33	69.4	
26.0	Siderastrea spp.	6540.6	17637.8	21.48	19.2	
27.0	Stephannocoenia intersepta	6838.6	17253.3	4.87	8.6	
28.0	Siderastrea spp.	14060.0	17736.0	241.95	135.2	
29.0	Siderastrea spp.	20104.7	16960.4	457.31	166.1	
30.0	Siderastrea spp.	17742.5	16337.4	83.12	36.3	
31.0	Siderastrea spp.	16807.2	16405.1	69.41	34.0	
32.0	Siderastrea spp.	13816.5	16204.6	96.02	40.6	
33.0	Siderastrea spp.	13476.3	16041.2	114.68	46.5	
34.0	Siderastrea spp.	13060.7	15882.8	38.55	44.1	
35.0	Siderastrea spp.	11838.5	16637.9	63.67	37.7	
36.0	Siderastrea spp.	11784.5	16969.3	13.65	14.8	
37.0	Siderastrea spp.	12454.0	16893.6	16.27	17.4	
38.0	Siderastrea spp.	4229.8	16768.3	30.28	23.2	
39.0	Siderastrea spp.	15387.0	15142.5	147.32	51.4	
40.0	Siderastrea spp.	13694.5	15323.9	16.59	28.3	
41.0	Siderastrea spp.	13131.6	15141.8	88.25	41.0	
42.0	Stephannocoenia intersepta	13265.3	15137.9	18.94	19.2	
43.0	Siderastrea spp.	13306.5	15256.6	8.15	12.0	
44.0	Porites astreoides	5756.6	15566.0	73.14	36.5	
45.0	Siderastrea spp.	5503.4	15433.1	10.61	15.5	
