Blob id	Class name	Centroid x	Centroid y	Coral area	Coral perimeter	Coral note
0.0	Halimeda	1388.8	1498.4	7.79	19.4	
1.0	Halimeda	1717.4	1334.9	19.3	44.2	
2.0	Halimeda	1986.1	1318.6	15.15	40.6	
3.0	Halimeda	2163.7	1344.4	8.38	25.8	
4.0	Halimeda	2489.3	1349.2	12.91	33.3	
