id,class,count,%,timePoint,year,pointCount
-1,None,,,2yr,Y1,1000
,Review,,,2yr,Y1,1000
1,Unknown,,,2yr,Y1,1000
2,Acropora spp.,,,2yr,Y1,1000
3,Acropora cervicornis,20,2,2yr,Y1,1000
4,Acropora palmata,,,2yr,Y1,1000
5,Porites spp.,,,2yr,Y1,1000
6,Porites porites,,,2yr,Y1,1000
7,Porites furcata,,,2yr,Y1,1000
8,Porites divaricata,,,2yr,Y1,1000
9,Porites astreoides,,,2yr,Y1,1000
10,Oculina spp.,,,2yr,Y1,1000
11,Oculina robusta,,,2yr,Y1,1000
12,Oculina varicosa,,,2yr,Y1,1000
13,Oculina diffusa,,,2yr,Y1,1000
14,Madracis spp.,,,2yr,Y1,1000
15,Madracis auretenra,,,2yr,Y1,1000
16,Madracis formosa,,,2yr,Y1,1000
17,Madracis decactis,,,2yr,Y1,1000
18,Dendrogyra cylindrus,,,2yr,Y1,1000
19,Siderastrea spp.,,,2yr,Y1,1000
20,Siderastrea siderea,,,2yr,Y1,1000
21,Siderastrea radians,,,2yr,Y1,1000
22,Stephanocoenia intersepta,,,2yr,Y1,1000
23,Montastraea cavernosa,2,0.2,2yr,Y1,1000
24,Orbicella spp.,,,2yr,Y1,1000
25,Orbicella annularis,,,2yr,Y1,1000
26,Orbicella faveolata,2,0.2,2yr,Y1,1000
27,Orbicella franksi,,,2yr,Y1,1000
28,Favia fragum,,,2yr,Y1,1000
29,Dichocoenia stokesii,,,2yr,Y1,1000
30,Solenastraea bournoni,,,2yr,Y1,1000
31,Solenastraea hyades,,,2yr,Y1,1000
32,Colpophyllia natans,,,2yr,Y1,1000
33,Pseudodiploria spp.,2,0.2,2yr,Y1,1000
34,Pseudodiploria strigosa,,,2yr,Y1,1000
35,Pseudodiploria clivosa,,,2yr,Y1,1000
36,Diploria labyrinthiformis,,,2yr,Y1,1000
37,Manicina areolata,,,2yr,Y1,1000
38,Meandrina spp.,,,2yr,Y1,1000
39,Meandrina meandrites,,,2yr,Y1,1000
40,Meandrina danae,,,2yr,Y1,1000
41,Meandrina jacksoni,,,2yr,Y1,1000
42,Helioseris cucullata,,,2yr,Y1,1000
43,Agaricia spp.,,,2yr,Y1,1000
44,Agaricia fragilis,,,2yr,Y1,1000
45,Agaricia lamarcki,,,2yr,Y1,1000
46, Agaricia agaricites,,,2yr,Y1,1000
47,Mycetophyllia spp.,,,2yr,Y1,1000
48,Mycetophyllia lamarckiana,,,2yr,Y1,1000
49,Mycetophyllia aliciae,,,2yr,Y1,1000
50,Mycetophyllia ferox,,,2yr,Y1,1000
51,Mycetophyllia reesi,,,2yr,Y1,1000
52,Isophyllia spp.,,,2yr,Y1,1000
53,Isophyllia sinuosa,,,2yr,Y1,1000
54,Isophyllia rigida,,,2yr,Y1,1000
55,Scolymia spp.,,,2yr,Y1,1000
56,Scolymia cubensis,,,2yr,Y1,1000
57,Scolymia wellsi,,,2yr,Y1,1000
58,Mussa angulosa,,,2yr,Y1,1000
59,Eusmilia fastigiata,,,2yr,Y1,1000
60,Octocorallia,46,4.6,2yr,Y1,1000
61,Gorgonia ventalina,,,2yr,Y1,1000
62,Xestospongia muta,,,2yr,Y1,1000
63,Thalassia testudinum,,,2yr,Y1,1000
64,Halimeda,,,2yr,Y1,1000
65,Dictyota spp.,,,2yr,Y1,1000
66,Crustose coralline algae,,,2yr,Y1,1000
67,Porifera,53,5.3,2yr,Y1,1000
68,Cnidaria,,,2yr,Y1,1000
69,Red algae,,,2yr,Y1,1000
70,Green algae,,,2yr,Y1,1000
71,Brown algae,,,2yr,Y1,1000
72,Palythoa,50,5,2yr,Y1,1000
73,Rubble,371,37.1,2yr,Y1,1000
74,Turf algae,443,44.3,2yr,Y1,1000
75,Other,3,0.3,2yr,Y1,1000
76,Millepora spp.,8,0.8,2yr,Y1,1000
