id,class,count,%,timePoint,year,pointCount
-1,None,,,1yr,Y1,1000
,Review,,,1yr,Y1,1000
1,Unknown,,,1yr,Y1,1000
2,Acropora spp.,,,1yr,Y1,1000
3,Acropora cervicornis,20,1.748251748,1yr,Y1,1000
4,Acropora palmata,,,1yr,Y1,1000
5,Porites spp.,,,1yr,Y1,1000
6,Porites porites,1,0.087412587,1yr,Y1,1000
7,Porites furcata,,,1yr,Y1,1000
8,Porites divaricata,,,1yr,Y1,1000
9,Porites astreoides,3,0.262237762,1yr,Y1,1000
10,Oculina spp.,,,1yr,Y1,1000
11,Oculina robusta,,,1yr,Y1,1000
12,Oculina varicosa,,,1yr,Y1,1000
13,Oculina diffusa,,,1yr,Y1,1000
14,Madracis spp.,,,1yr,Y1,1000
15,Madracis auretenra,,,1yr,Y1,1000
16,Madracis formosa,,,1yr,Y1,1000
17,Madracis decactis,,,1yr,Y1,1000
18,Dendrogyra cylindrus,,,1yr,Y1,1000
19,Siderastrea spp.,,,1yr,Y1,1000
20,Siderastrea siderea,3,0.262237762,1yr,Y1,1000
21,Siderastrea radians,,,1yr,Y1,1000
22,Stephanocoenia intersepta,,,1yr,Y1,1000
23,Montastraea cavernosa,,,1yr,Y1,1000
24,Orbicella spp.,,,1yr,Y1,1000
25,Orbicella annularis,,,1yr,Y1,1000
26,Orbicella faveolata,,,1yr,Y1,1000
27,Orbicella franksi,,,1yr,Y1,1000
28,Favia fragum,,,1yr,Y1,1000
29,Dichocoenia stokesii,,,1yr,Y1,1000
30,Solenastraea bournoni,,,1yr,Y1,1000
31,Solenastraea hyades,,,1yr,Y1,1000
32,Colpophyllia natans,,,1yr,Y1,1000
33,Pseudodiploria spp.,,,1yr,Y1,1000
34,Pseudodiploria strigosa,,,1yr,Y1,1000
35,Pseudodiploria clivosa,,,1yr,Y1,1000
36,Diploria labyrinthiformis,,,1yr,Y1,1000
37,Manicina areolata,,,1yr,Y1,1000
38,Meandrina spp.,,,1yr,Y1,1000
39,Meandrina meandrites,,,1yr,Y1,1000
40,Meandrina danae,,,1yr,Y1,1000
41,Meandrina jacksoni,,,1yr,Y1,1000
42,Helioseris cucullata,,,1yr,Y1,1000
43,Agaricia spp.,,,1yr,Y1,1000
44,Agaricia fragilis,,,1yr,Y1,1000
45,Agaricia lamarcki,,,1yr,Y1,1000
46, Agaricia agaricites,,,1yr,Y1,1000
47,Mycetophyllia spp.,,,1yr,Y1,1000
48,Mycetophyllia lamarckiana,,,1yr,Y1,1000
49,Mycetophyllia aliciae,,,1yr,Y1,1000
50,Mycetophyllia ferox,,,1yr,Y1,1000
51,Mycetophyllia reesi,,,1yr,Y1,1000
52,Isophyllia spp.,,,1yr,Y1,1000
53,Isophyllia sinuosa,,,1yr,Y1,1000
54,Isophyllia rigida,,,1yr,Y1,1000
55,Scolymia spp.,,,1yr,Y1,1000
56,Scolymia cubensis,,,1yr,Y1,1000
57,Scolymia wellsi,,,1yr,Y1,1000
58,Mussa angulosa,,,1yr,Y1,1000
59,Eusmilia fastigiata,,,1yr,Y1,1000
60,Octocorallia,46,4.020979021,1yr,Y1,1000
61,Gorgonia ventalina,,,1yr,Y1,1000
62,Xestospongia muta,,,1yr,Y1,1000
63,Thalassia testudinum,,,1yr,Y1,1000
64,Halimeda,,,1yr,Y1,1000
65,Dictyota spp.,,,1yr,Y1,1000
66,Crustose coralline algae,,,1yr,Y1,1000
67,Porifera,42,3.671328671,1yr,Y1,1000
68,Cnidaria,,,1yr,Y1,1000
69,Red algae,,,1yr,Y1,1000
70,Green algae,,,1yr,Y1,1000
71,Brown algae,,,1yr,Y1,1000
72,Palythoa,53,4.632867133,1yr,Y1,1000
73,Rubble,487,42.56993007,1yr,Y1,1000
74,Turf algae,476,41.60839161,1yr,Y1,1000
75,Other,6,0.524475524,1yr,Y1,1000
76,Millepora spp.,7,0.611888112,1yr,Y1,1000
