id,class,count,%,timePoint,year,pointCount
-1,None,,,baseline,Y1,2500
,Review,,,baseline,Y1,2500
1,Unknown,,,baseline,Y1,2500
2,Acropora spp.,,,baseline,Y1,2500
3,Acropora cervicornis,1,0.040048058,baseline,Y1,2500
4,Acropora palmata,,,baseline,Y1,2500
5,Porites spp.,,,baseline,Y1,2500
6,Porites porites,,,baseline,Y1,2500
7,Porites furcata,,,baseline,Y1,2500
8,Porites divaricata,,,baseline,Y1,2500
9,Porites astreoides,8,0.320384461,baseline,Y1,2500
10,Oculina spp.,,,baseline,Y1,2500
11,Oculina robusta,,,baseline,Y1,2500
12,Oculina varicosa,,,baseline,Y1,2500
13,Oculina diffusa,,,baseline,Y1,2500
14,Madracis spp.,,,baseline,Y1,2500
15,Madracis auretenra,,,baseline,Y1,2500
16,Madracis formosa,,,baseline,Y1,2500
17,Madracis decactis,,,baseline,Y1,2500
18,Dendrogyra cylindrus,,,baseline,Y1,2500
19,Siderastrea spp.,,,baseline,Y1,2500
20,Siderastrea siderea,4,0.160192231,baseline,Y1,2500
21,Siderastrea radians,,,baseline,Y1,2500
22,Stephanocoenia intersepta,2,0.080096115,baseline,Y1,2500
23,Montastraea cavernosa,,,baseline,Y1,2500
24,Orbicella spp.,,,baseline,Y1,2500
25,Orbicella annularis,,,baseline,Y1,2500
26,Orbicella faveolata,3,0.120144173,baseline,Y1,2500
27,Orbicella franksi,,,baseline,Y1,2500
28,Favia fragum,,,baseline,Y1,2500
29,Dichocoenia stokesii,,,baseline,Y1,2500
30,Solenastraea bournoni,,,baseline,Y1,2500
31,Solenastraea hyades,,,baseline,Y1,2500
32,Colpophyllia natans,,,baseline,Y1,2500
33,Pseudodiploria spp.,,,baseline,Y1,2500
34,Pseudodiploria strigosa,1,0.040048058,baseline,Y1,2500
35,Pseudodiploria clivosa,,,baseline,Y1,2500
36,Diploria labyrinthiformis,,,baseline,Y1,2500
37,Manicina areolata,,,baseline,Y1,2500
38,Meandrina spp.,,,baseline,Y1,2500
39,Meandrina meandrites,,,baseline,Y1,2500
40,Meandrina danae,,,baseline,Y1,2500
41,Meandrina jacksoni,,,baseline,Y1,2500
42,Helioseris cucullata,,,baseline,Y1,2500
43,Agaricia spp.,,,baseline,Y1,2500
44,Agaricia fragilis,,,baseline,Y1,2500
45,Agaricia lamarcki,,,baseline,Y1,2500
46, Agaricia agaricites,,,baseline,Y1,2500
47,Mycetophyllia spp.,,,baseline,Y1,2500
48,Mycetophyllia lamarckiana,,,baseline,Y1,2500
49,Mycetophyllia aliciae,,,baseline,Y1,2500
50,Mycetophyllia ferox,,,baseline,Y1,2500
51,Mycetophyllia reesi,,,baseline,Y1,2500
52,Isophyllia spp.,,,baseline,Y1,2500
53,Isophyllia sinuosa,,,baseline,Y1,2500
54,Isophyllia rigida,,,baseline,Y1,2500
55,Scolymia spp.,,,baseline,Y1,2500
56,Scolymia cubensis,,,baseline,Y1,2500
57,Scolymia wellsi,,,baseline,Y1,2500
58,Mussa angulosa,,,baseline,Y1,2500
59,Eusmilia fastigiata,,,baseline,Y1,2500
60,Octocorallia,152,6.087304766,baseline,Y1,2500
61,Gorgonia ventalina,,,baseline,Y1,2500
62,Xestospongia muta,,,baseline,Y1,2500
63,Thalassia testudinum,,,baseline,Y1,2500
64,Halimeda,,,baseline,Y1,2500
65,Dictyota spp.,,,baseline,Y1,2500
66,Crustose coralline algae natans,,,baseline,Y1,2500
67,Porifera,112,4.485382459,baseline,Y1,2500
68,Cnidaria,,,baseline,Y1,2500
69,Red algae,,,baseline,Y1,2500
70,Green algae,,,baseline,Y1,2500
71,Brown algae,,,baseline,Y1,2500
72,Palythoa,137,5.486583901,baseline,Y1,2500
73,Rubble,1291,51.70204245,baseline,Y1,2500
74,Turf algae,758,30.35642771,baseline,Y1,2500
75,Other,14,0.560672807,baseline,Y1,2500
76,Millepora spp.,13,0.52062475,baseline,Y1,2500
77,Chordata,1,0.040048058,,,2500
